CONTAINERNUMBER,ADDRESS,LATITUDE,LONGITUDE,FRACTION,COUNTER,FILLHEIGHT,DATE,TEMPERATURE
'1100','Skadbergbakken-1 (S5)','58.8852917','5.6694233','Bio','0','2266','23.02.2019','15'
'1522','Skadbergbakken-3 (S1)','58.8858517','5.6684317','Restavfall','0','2056','23.04.2019','19'
'1308','Skadbergbakken-3 (S1)','58.8858517','5.6684317','Papir','1','1901','23.04.2019','19'
'2381','Skadbergbakken-3 (S1)','58.8858517','5.6684317','Bio','0','1659','23.04.2019','23'
'1960','Skadbergbakken-4','58.8862017','5.6692583','Restavfall','0','2266','17.01.2019','1'
'1907','Skadbergbakken-4','58.8862017','5.6692583','Bio','0','2078','23.04.2019','1'
'2761','Skadbergbakken-4','58.8862017','5.6692583','Papir','0','360','23.04.2019','21'
'2351','Skadbergbakken-4','58.8862017','5.6692583','Glass/metall','0','2189','15.04.2019','21'
'2461','Skadbergbakken-4','58.8862017','5.6692583','Tekstil','0','1064','22.04.2019','21'
'2935','Skadbergveien 2','58.8906717','5.6662083','Papir','0','2052','23.04.2019','21'
'2897','Skadbergveien 2','58.8906717','5.6662083','Bio','0','1563','23.04.2019','21'
'2898','Skadbergveien 2','58.8906717','5.6662083','Glass/metall','2','2303','23.04.2019','21'
'3050','Skadbergveien 2','58.8906717','5.6662083','Restavfall','0','1873','23.04.2019','23'
'1510','Skaramarka - 1','58.8437843','5.7750015','Restavfall','48','1592','17.04.2019','19'
'1525','Skaramarka - 1','58.8437843','5.7750015','Papir','69','1368','23.04.2019',' '
'1504','Skaramarka - 1','58.8437843','5.7750015','Bio','58','1376','06.04.2019',' '
'3752','Skaramarka - 2','58.8434334','5.7757935','Restavfall','122','1316','23.04.2019',' '
'3148','Skaramarka - 2','58.8434334','5.7757935','Papir','37','1852','23.04.2019','19'
'1690','Skaramarka - 2','58.8434334','5.7757935','Bio','201','1341','23.04.2019','19'
'3742','Skaret avlastningssenter','58.8442667','5.7726600','Rest-næring','46','682','23.04.2019',' '
'3772','Skaret avlastningssenter','58.8442667','5.7726600','Papir-næring','78','727','23.04.2019',' '
'3767','Skaret avlastningssenter','58.8442667','5.7726600','Bio-næring','57','508','23.04.2019',' '
'3114','Skeianemarka - Traneveien','58.8439700','5.7141100','Bio','24','2266','11.04.2019','13'
'3909','Skeie skole','59.0021019','5.7262802','Rest-næring','13','2341','16.04.2019',' '
'2210','Skeie skole','59.0021019','5.7262802','Papir-næring','165','1842','22.04.2019','19'
'932','Skeiehagen barnehage','59.0056700','5.7239200','Papir-næring','0','2284','23.04.2019','17'
'3886','Skeiehagen barnehage','59.0056700','5.7239200','Rest-næring','89','917','23.04.2019',' '
'2125','Skeienemarken-Rugdeveien','58.8450050','5.7140732','Restavfall','62','2018','23.04.2019','1'
'2703','Skeienemarken-Rugdeveien','58.8450050','5.7140732','Papir','58','1645','23.04.2019','19'
'1659','Skeienemarken-Rugdeveien','58.8450050','5.7140732','Bio','38','2266','23.04.2019','13'
'483','Skeienemarken-Traneveien','58.8439700','5.7141100','Restavfall','0','0','23.04.2019','17'
'3849','Skeienemarken-Traneveien','58.8439700','5.7141100','Papir','55','60','23.04.2019',' '
'1922','Skogly Nærbø','58.6647583','5.6411667','Papir','35','1982','23.04.2019','1'
'3124','Skogly Nærbø','58.6647583','5.6411667','Bio','43','0','13.04.2019','15'
'2812','Skogly Nærbø','58.6647583','5.6411667','Glass/metall','34','1471','23.04.2019','19'
'2854','Skogly Nærbø','58.6647583','5.6411667','Restavfall','337','2271','22.04.2019','19'
'3727','Skoran 1 - Sirevåg','58.5044150','5.8065767','Restavfall','485','849','23.04.2019',' '
'3745','Skoran 1 - Sirevåg','58.5044150','5.8065767','Papir','33','1279','23.04.2019',' '
'3747','Skoran 1 - Sirevåg','58.5044150','5.8065767','Bio','9','60','23.04.2019','35'
'3766','Skoran 1 - Sirevåg','58.5044150','5.8065767','Glass/metall','1','60','23.04.2019','39'
'2775','Skorpefjell - Hedlehaugen','59.0599480','5.6947532','Bio','135','2223','19.04.2019','15'
'2784','Skorpefjell - Hedlehaugen','59.0599480','5.6947532','Restavfall','46','1285','23.04.2019','17'
'2788','Skorpefjell - Hedlehaugen','59.0599480','5.6947532','Papir','27','1336','23.04.2019','15'
'1183','Skorpefjell 1-Bautaveien','59.0603943','5.6928601','Papir','34','885','23.04.2019','21'
'1236','Skorpefjell 1-Bautaveien','59.0603943','5.6928601','Bio','69','2223','03.04.2019','15'
'3025','Skorpefjell 1-Bautaveien','59.0603943','5.6928601','Restavfall','165','1647','23.04.2019','15'
'1723','Skorpefjell 2-Bukkavarden','59.0589943','5.6953969','Restavfall','85','1360','21.04.2019',' '
'1131','Skorpefjell 2-Bukkavarden','59.0589943','5.6953969','Papir','37','1396','20.04.2019','15'
'2189','Skorpefjell 2-Bukkavarden','59.0589943','5.6953969','Bio','126','2223','03.04.2019','1'
